player,name,rating
abund,"Yuan, Qingyu",Blitz rating not found
actorxu,Xu Yi,2460
alexei_gubajdullin,Alexei Gubajdullin,2275
alexpapasimakopoulos,Alexandros Papasimakopoulos,2358
alexrustemov,Alexander Rustemov,Blitz rating not found
anton_demchenko,Anton Demchenko,2545
aradhya2000,Aradhya Garg,Blitz rating not found
artin10862,Artin Ashraf,2224
aryantari,Aryan Tari,2586
arystanner,Arystanbek Urazayev,2433
atbenina64,Abtin Atakhan,2008
attack2mateu,Razvan Preotu,2434
avitalbor,Avital Boruchovsky,2450
aygehovit1992,Nikita Matinian,2407
baki83,Etienne Bacrot,2640
bazar-wokzal,Nikolai Vlassov,Blitz rating not found
beanscreen,Zachary Tanenbaum,2235
beca95,Aleksandar Indjic,2611
bigfish1995,Vladimir Fedoseev,2719
billiekimbah,Maxim Matlakov,2666
blitzking1729,Srihari L R,Blitz rating not found
bogdandeac,Bogdan Daniel Deac,2641
byniolus,Zbigniew Pakleza,2410
cayse,Martyn Kravtsiv,Blitz rating not found
champ2005,Raunak Sadhwani,2669
chessdjw,Dennis Wagner,2482
chessmissile07,Suresh Harsh,Blitz rating not found
chessqueen,Alexandra Kosteniuk,2455
chito89,Axel Bachmann,2611
christopheryoo,Christopher Woojin Yoo,Blitz rating not found
csb7,Balázs Csonka,Blitz rating not found
damianolew95,Damian Lewtak,2302
danielnaroditsky,Daniel Naroditsky,2623
defiantchair,Eduardo Mendez Fortes,Blitz rating not found
denlaz,Denis Lazavik,2560
detimmerman,Mark Timmermans,2460
dretch,Conrad Holt,2592
dropstonedp,David Paravyan,2544
duhless,Daniil Dubov,2767
durarbayli,Vasif Durarbayli,2551
exoticprincess,Baadur Jobava,2576
fabianocaruana,Fabiano Caruana,2813
fairchess_on_youtube,Dmitry Andreikin,Blitz rating not found
fandorine,Maksim Chigaev,2561
fghsmn,Bharath Subramaniyam.H Harishankkar,Blitz rating not found
firouzja2003,Alireza Firouzja,2896
flawless_fighter,Polina Shuvalova,2354
frederiksvane,Frederik Svane,2502
gianmarcovar,Gianmarco Leiva,Blitz rating not found
gm_dmitrij,Dmitrij Kollars,2584
gmkrikor,Krikor Sevag Mekhitarian,2588
gmwso,Wesley So,2760
goltsevdmitry2000,Goltsev Dmitry,Blitz rating not found
goryachkina,Aleksandra Goryachkina,2471
grischuk,Alexander Grischuk,2701
hansen,Eric Hansen,2561
harry_rakkel,Krzysztof Jakubowski,2365
hikaru,Hikaru Nakamura,2874
howitzer14,David Howell,2567
hrant_chessmood,Hrant Melkumyan,2604
i_am_javi,Ernesto Javier Fernandez Guillen,Blitz rating not found
iball95,Vakhlamov Igor,Blitz rating not found
igorbjelobrk,Igor Bjelobrk,2319
jacky72,Mihnea Costachi,2456
jaskol95,Tomasz Jaskolka,2155
jcibarra,José Carlos Ibarra Jerez,Blitz rating not found
jefferyx,Jeffery Xiong,2726
jimdigrease,Ivan Zemlyanskii,2421
jospem,Jose Eduardo Martinez Alcantara,2703
k_a_s_t_o_r,Rodrigo Vasquez,Blitz rating not found
kildepiotr,Piotr Piesik,2335
knvb,Aman Hambleton,2511
korchmar_vasiliy,Vasiliy Korchmar,2370
kosak12,Jakub Kosakowski,2488
lefonghua,Lefong Hua,Blitz rating not found
legendinunknown,Harshavardhan GB,Blitz rating not found
lennis93,Lennis Martinez,Blitz rating not found
lion-al-messi,Ward Al-Tarboush,Blitz rating not found
magnuscarlsen,Magnus Carlsen,2887
marcus_harvey,Marcus Harvey,Blitz rating not found
matthewg-p4p,Matvey Galchenko,2423
mbojan,Bojan Maksimović,Blitz rating not found
meri-arabidze,Meri Arabidze,2417
mikhail_bryakin,Mikhail Bryakin,2459
mikhail_golubev,Mikhail Golubev,Blitz rating not found
mishanick,Aleksei Sarana,Blitz rating not found
miterryble,Renato Terry,2575
moro182,Luca Moroni Jr,2556
msb2,Matthias Bluebaum,2626
nf3c5,Iung Alicio de O. Pinheiro,Blitz rating not found
njal28,Aram Hakobyan,2584
ol_bilych,Olexiy Bilych,2341
oleksandr_bortnyk,Oleksandr Bortnyk,2725
oparingrigoriy,Grigoriy Oparin,2647
ozates,Tuna Özateş,Blitz rating not found
pedromartinez91,Pedro Martinez,Blitz rating not found
peshkach,Tykhon Cherniaiev,Blitz rating not found
player_2006_m,Mukhiddin Madaminov,2478
polish_fighter3000,Jan-Krzysztof Duda,2775
rasmussvane,Rasmus Svane,2601
reevecanada,Aaron Mendes,Blitz rating not found
rodalquilar,Leonardo Tristan,2483
rud_makarian,Rudik Makarian,2505
rutricks,Rubén Domingo Núñez,Blitz rating not found
sam_chessmood,Samvel Ter-Sahakyan,2545
sanan_sjugirov,Sanan Sjugirov,2569
santoblue,Vahap Sanal,2628
semetey,Semetey Tologontegin,2258
seorobert1971,Jung Min Seo,2468
shield12,Shamsiddin Vokhidov,2559
shimastream,Aleksandr Shimanov,2611
snowlord,Ivan Yeletsky,2357
sokidze,Ihor Samunenkov,2473
sokoloco,Yahli Sokolovsky,2389
stollenmonster,Egor Baskakov,Blitz rating not found
tdf98pantani,pawel jaracz,2454
tigrvshlyape,Gata Kamsky,2660
timofeevar,Artem Timofeev,Blitz rating not found
verdenotte,Gawain Maroroa Jones,Blitz rating not found
vi_pranav,Pranav V,Blitz rating not found
vincentkeymer,Vincent Keymer,2645
vladimir_zakhartsov,Vladimir Zakhartsov,2518
vladimirkramnik,Vladimir Kramnik,Blitz rating not found
vovachesss,Vladimir Mikhailovsky,Blitz rating not found
vugarrasulov,Vugar Rasulov,2517
vuk2000,Vuk Djordjevic,2425
witik,Vjacheslav Weetik,Blitz rating not found
wonderfultime,Tuan Minh Le,2565
wpwpwp-2015,Wojciech Przybylski,2228
zhigalko_sergei,Sergei Zhigalko,2616
zkid,Steven Zierk,Blitz rating not found
